iter	Passed	Remaining
0	75	22430
1	151	22555
2	222	22073
3	301	22274
4	381	22515
5	468	22967
6	543	22758
7	628	22956
8	709	22931
9	788	22863
10	866	22759
11	947	22730
12	1028	22705
13	1110	22678
14	1193	22667
15	1276	22660
16	1358	22610
17	1438	22530
18	1536	22729
19	1641	22981
20	1727	22956
21	1818	22980
22	1900	22893
23	1980	22774
24	2064	22704
25	2150	22664
26	2230	22551
27	2317	22515
28	2397	22406
29	2474	22270
30	2553	22154
31	2632	22051
32	2712	21947
33	2794	21863
34	2886	21857
35	2976	21824
36	3053	21706
37	3133	21606
38	3211	21489
39	3287	21367
40	3364	21255
41	3443	21152
42	3523	21060
43	3602	20959
44	3681	20864
45	3762	20777
46	3847	20711
47	3930	20635
48	4010	20542
49	4094	20470
50	4174	20382
51	4255	20293
52	4336	20210
53	4418	20128
54	4499	20042
55	4581	19960
56	4666	19895
57	4749	19818
58	4830	19731
59	4911	19644
60	4992	19561
61	5071	19466
62	5148	19369
63	5230	19288
64	5316	19219
65	5395	19128
66	5475	19042
67	5560	18969
68	5640	18882
69	5727	18820
70	5819	18768
71	5902	18691
72	5990	18628
73	6072	18546
74	6153	18461
75	6239	18389
76	6323	18313
77	6412	18250
78	6500	18183
79	6585	18109
80	6669	18032
81	6755	17960
82	6840	17883
83	6924	17806
84	7012	17736
85	7099	17666
86	7183	17586
87	7266	17505
88	7349	17424
89	7479	17453
90	7577	17403
91	7667	17335
92	7757	17265
93	7845	17194
94	7941	17136
95	8025	17053
96	8109	16971
97	8193	16888
98	8276	16804
99	8362	16725
100	8453	16656
101	8535	16569
102	8620	16488
103	8701	16399
104	8791	16327
105	8882	16257
106	8969	16178
107	9057	16102
108	9145	16025
109	9237	15956
110	9319	15868
111	9400	15779
112	9485	15697
113	9568	15611
114	9656	15534
115	9743	15455
116	9835	15382
117	9919	15299
118	10007	15221
119	10097	15145
120	10194	15080
121	10280	14999
122	10363	14913
123	10446	14827
124	10532	14745
125	10618	14663
126	10705	14583
127	10790	14500
128	10876	14417
129	10958	14330
130	11047	14252
131	11135	14171
132	11222	14090
133	11308	14009
134	11394	13926
135	11473	13835
136	11554	13747
137	11634	13658
138	11719	13574
139	11813	13500
140	11908	13429
141	11990	13341
142	12072	13254
143	12158	13171
144	12239	13083
145	12315	12990
146	12401	12907
147	12479	12816
148	12563	12732
149	12650	12650
150	12733	12564
151	12813	12476
152	12895	12390
153	12977	12303
154	13057	12215
155	13136	12125
156	13215	12037
157	13301	11954
158	13378	11864
159	13454	11772
160	13537	11687
161	13614	11597
162	13698	11513
163	13779	11427
164	13863	11342
165	13950	11261
166	14037	11179
167	14121	11095
168	14205	11011
169	14289	10927
170	14371	10841
171	14456	10758
172	14539	10673
173	14623	10589
174	14713	10509
175	14799	10426
176	14881	10341
177	14968	10259
178	15056	10178
179	15139	10093
180	15223	10009
181	15306	9923
182	15389	9838
183	15470	9752
184	15556	9670
185	15638	9584
186	15726	9503
187	15811	9419
188	15899	9337
189	15985	9254
190	16066	9169
191	16151	9085
192	16236	9001
193	16321	8918
194	16409	8836
195	16498	8754
196	16585	8671
197	16672	8589
198	16757	8505
199	16848	8424
200	16933	8340
201	17018	8256
202	17106	8173
203	17189	8088
204	17272	8004
205	17356	7920
206	17439	7835
207	17518	7748
208	17593	7660
209	17672	7573
210	17749	7486
211	17829	7400
212	17909	7315
213	18001	7234
214	18120	7163
215	18216	7084
216	18316	7005
217	18405	6923
218	18493	6840
219	18578	6755
220	18664	6671
221	18747	6586
222	18829	6501
223	18911	6416
224	18992	6330
225	19079	6247
226	19170	6164
227	19256	6080
228	19341	5996
229	19432	5914
230	19519	5830
231	19609	5747
232	19701	5665
233	19792	5582
234	19886	5500
235	19975	5416
236	20063	5333
237	20184	5258
238	20287	5178
239	20371	5092
240	20464	5009
241	20561	4927
242	20650	4843
243	20740	4760
244	20832	4676
245	20918	4591
246	20999	4505
247	21090	4422
248	21186	4339
249	21271	4254
250	21357	4169
251	21448	4085
252	21535	4000
253	21619	3915
254	21703	3830
255	21793	3745
256	21886	3661
257	21980	3578
258	22067	3493
259	22155	3408
260	22245	3324
261	22338	3239
262	22432	3155
263	22519	3070
264	22606	2985
265	22693	2900
266	22779	2815
267	22870	2730
268	22965	2646
269	23051	2561
270	23135	2475
271	23218	2390
272	23303	2304
273	23395	2220
274	23484	2134
275	23576	2050
276	23658	1964
277	23748	1879
278	23842	1794
279	23924	1708
280	24012	1623
281	24109	1538
282	24202	1453
283	24284	1368
284	24368	1282
285	24460	1197
286	24548	1111
287	24629	1026
288	24711	940
289	24792	854
290	24913	770
291	25000	684
292	25081	599
293	25161	513
294	25206	427
295	25299	341
296	25381	256
297	25464	170
298	25552	85
299	25637	0
